Date,SPX Index,S5INFT Index,S5FINL Index,S5HLTH Index,S5COND Index,S5TELS Index,S5INDU Index,S5CONS Index,S5ENRS Index,S5UTIL Index,S5RLST Index,S5MATR Index
7/5/2023,4446.82,3059.1,562.76,1535.16,1345.9663,218.97,903.24,783.46,622.11,338.7,239.79,510.6
12/30/2022,3839.5,2172.17,569.74,1585.54,1005.483,159.37,831.4,779.13,672.34,358.48,232.37,489.55
12/31/2021,4766.18,3055.45,650.04,1643.92,1610.756,267.48,894.96,804.6,422.74,363.71,324.75,569.63
12/31/2020,3756.07,2291.28,490.43,1324.01,1302.561,221.92,749.54,696.32,286.14,319.07,227.9,455.71
12/31/2019,3230.78,1611.17,511.39,1188.2,986.2906,181.64,687.6,646.97,456.46,328.36,240.32,385.85
12/31/2018,2506.85,1088.31,395.9,1001.18,781.5049,138.78,542.16,521.88,424.07,268.61,192.36,316.62
12/29/2017,2673.61,1106.18,463.94,956.32,785.3293,166.07,637.81,587.39,533.41,267.37,203.86,378.94
12/30/2016,2238.83,807.95,386.53,796.91,647.8203,176.61,538.07,531.79,554.5,246.83,190.23,312.16
12/31/2015,2043.94,721.48,321.73,833.23,621.0201,149.91,463.53,518.42,448.44,220,190.22,273.64
12/31/2014,2058.9,691.95,333.32,791.97,572.7496,152.55,486.47,499.58,586.59,240.14,187.89,305.28
12/31/2013,1848.36,585.48,294.71,642.3,530.0987,155.52,452.46,442.62,651.67,193.21,148.95,291.64
